id,id_category,name,id_brand
423,33,Powerstation Go Rugged Air Compressor Power Bank - Black,125
424,33,SAFETY Giraffe Bicycle Helmet - Blue,123
425,33,SAFETY Zebra Bicycle Helmet - Black & White,123
426,34,GKNTBK15 Kindle Paperwhite Case - Black,13
427,36,"Expansion External Hard Drive - 1 TB, Black",133
428,36,"Expansion External Hard Drive - 2 TB, Black",133
429,36,Ultra Class 10 microSD Memory Card for Nintendo Switch - 128 GB,135
430,36,"Gaming Hard Drive for Xbox - 2 TB, Black",133
431,36,"One Touch Portable Hard Drive - 2 TB, Black",133
432,36,"Cloud Backup - 4 TB, 1 year",112
433,36,"Expansion Portable Hard Drive - 4 TB, Black",133
434,36,High Performance Class 10 microSD Memory Card for Nintendo Switch - 64 GB,135
435,36,"Expansion External Hard Drive - 6 TB, Black",133
436,36,"My Passport for Mac Portable Hard Drive - 4 TB, Midnight Blue",132
437,36,Class 10 microSDXC Memory Card for Nintendo Switch - 256 GB,135
438,36,"Expansion Desktop External Hard Drive - 10 TB, Black",133
439,36,"Elements SE Portable Hard Drive - 1 TB, Black",132
440,36,Expansion SSD for Xbox Series X/S - 1 TB,133
441,36,"My Passport Portable Hard Drive - 4 TB, Red",132
442,36,"My Passport Portable Hard Drive - 4 TB, Black",132
443,36,"My Cloud Home NAS Drive - 4 TB, White",132
444,36,"Canvio Basics Portable Hard Drive - 2 TB, Black",131
445,36,"One Touch Portable Hard Drive - 5 TB, Black",133
446,36,"Expansion Desktop External Hard Drive - 4 TB, Black",133
447,37,"Charge 4 Fitness Tracker - Black, Universal",138
448,37,"Charge 5 Fitness Tracker - Black, Universal",138
449,37,"Charge 5 Fitness Tracker - Soft Gold, Universal",138
450,37,"Charge 4 Fitness Tracker - Rosewood, Universal",138
451,37,"Charge 5 Fitness Tracker - Steel Blue, Universal",138
452,37,"Luxe Fitness Tracker - Lunar White & Soft Gold, Universal",138
453,37,"Band 6 - Sakura Pink, Universal",137
454,37,"Band 6 - Graphite Black, Universal",137
455,37,"Band 6 - Forest Green, Universal",137
456,37,"Luxe Fitness Tracker - Platinum & Orchid, Universal",138
457,37,"ACTIVE GFITPP20 Activity Tracker - Purple, Small",13
458,37,"Band 4 - Graphite Black, Universal",137
459,37,"Band 4 - Sakura Pink, Universal",137
460,37,"Charge 4 Fitness Tracker - Granite Black, Universal",138
461,37,"ACTIVE GFITBK20 Activity Tracker - Black, Small",13
462,37,Inspire 2 - Black,138
463,37,"Luxe Fitness Tracker - Black, Universal",138
